y,density
5.1928,0.0003
5.2252,0.00044
5.2575,0.00067
5.2899,0.00096
5.3222,0.00126
5.3546,0.00163
5.3869,0.00193
5.4193,0.00222
5.4516,0.00252
5.484,0.00297
5.5163,0.00356
5.5487,0.00423
5.581,0.00489
5.6134,0.00534
5.6457,0.00578
5.6781,0.00608
5.7105,0.0066
5.7428,0.00719
5.7752,0.00801
5.8075,0.00875
5.8399,0.00942
5.8722,0.01008
5.9046,0.01075
5.9369,0.01164
5.9693,0.0129
6.0016,0.01453
6.034,0.01668
6.0663,0.01928
6.0987,0.02232
6.131,0.02573
6.1634,0.02936
6.1958,0.03329
6.2281,0.03759
6.2605,0.04234
6.2928,0.04783
6.3252,0.05435
6.3575,0.06184
6.3899,0.07022
6.4222,0.07912
6.4546,0.08787
6.4869,0.09588
6.5193,0.10255
6.5516,0.10737
6.584,0.11004
6.6163,0.11063
6.6487,0.1093
6.6811,0.10655
6.7134,0.10329
6.7458,0.1004
6.7781,0.09907
6.8105,0.10025
6.8428,0.10433
6.8752,0.11063
6.9075,0.11797
6.9399,0.12487
6.9722,0.13065
7.0046,0.1354
7.0369,0.14037
7.0693,0.14682
7.1017,0.15557
7.134,0.16684
7.1664,0.18026
7.1987,0.19517
7.2311,0.21096
7.2634,0.22727
7.2958,0.24381
7.3281,0.26049
7.3605,0.27762
7.3928,0.29549
7.4252,0.3147
7.4575,0.33583
7.4899,0.35919
7.5222,0.38462
7.5546,0.41132
7.587,0.43831
7.6193,0.4647
7.6517,0.49073
7.684,0.51705
7.7164,0.54442
7.7487,0.57296
7.7811,0.60233
7.8134,0.63221
7.8458,0.66335
7.8781,0.69813
7.9105,0.73966
7.9428,0.7903
7.9752,0.84992
8.0075,0.91317
8.0399,0.96871
8.0723,1.0
8.1046,0.98888
8.137,0.92325
8.1693,0.80335
8.2017,0.64452
8.234,0.47279
8.2664,0.31499
8.2987,0.1896
8.3311,0.10277
8.3634,0.05005
8.3958,0.02187
